Date,GlobalCovidTrend
2018-06-01,0.0
2018-07-01,0.0
2018-08-01,0.0
2018-09-01,0.0
2018-10-01,0.0
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.0
2019-04-01,0.0
2019-05-01,0.0
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,0.0
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,1.5
2020-03-01,52.0
2020-04-01,63.0
2020-05-01,49.6
2020-06-01,46.5
2020-07-01,53.75
2020-08-01,45.8
2020-09-01,43.25
2020-10-01,51.25
2020-11-01,56.0
2020-12-01,61.75
2021-01-01,61.6
2021-02-01,52.75
2021-03-01,63.0
2021-04-01,67.25
2021-05-01,59.6
2021-06-01,53.5
2021-07-01,63.5
2021-08-01,67.6
2021-09-01,49.25
2021-10-01,39.6
2021-11-01,46.25
2021-12-01,73.5
2022-01-01,76.4
2022-02-01,33.0
2022-03-01,25.5
2022-04-01,20.75
2022-05-01,17.6
2022-06-01,19.0
2022-07-01,20.2
2022-08-01,12.75
2022-09-01,11.0
2022-10-01,10.2
2022-11-01,10.0
2022-12-01,11.5
2023-01-01,7.4
2023-02-01,5.75
2023-03-01,5.25
2023-04-01,5.2
2023-05-01,4.25
2023-06-01,3.0
2023-07-01,3.0
2023-08-01,2.75
2023-09-01,2.0
2023-10-01,2.0
2023-11-01,2.0
2023-12-01,2.0
2024-01-01,1.25
2024-02-01,1.0
2024-03-01,1.0
2024-04-01,1.0
2024-05-01,1.0
2024-06-01,0.0
2024-07-01,0.0
